"Activity Date","Process Date","Settle Date","Instrument","Description","Trans Code","Quantity","Price","Amount"
"7/13/2026","7/13/2026","7/14/2026","SPXW","SPXW 8/3/2026 Put $7,425.00","BTO","1","$48.71","($4,871.98)"
"7/13/2026","7/13/2026","7/14/2026","SPXW","SPXW 8/3/2026 Put $7,410.00","STO","2","$45.54","$9,106.04"
"7/13/2026","7/13/2026","7/14/2026","SPXW","SPXW 8/3/2026 Put $7,370.00","BTO","1","$38.17","($3,817.98)"
"7/13/2026","7/13/2026","7/14/2026","XOVR","XOVR 7/17/2026 Call $18.00","STC","1","$2.65","$264.94"
"7/13/2026","7/13/2026","7/14/2026","ONDS","Ondas Inc.
CUSIP: 68236H204","Buy","1","$7.10","($7.10)"
"7/13/2026","7/13/2026","7/13/2026","","Aggregated Margin Rate","MINT","","","($92.88)"
"7/10/2026","7/10/2026","7/13/2026","SPXW","SPXW 7/22/2026 Put $7,225.00","STC","1","$4.30","$429.02"
"7/10/2026","7/10/2026","7/13/2026","SPXW","SPXW 7/22/2026 Put $7,300.00","STC","1","$6.76","$675.02"
"7/10/2026","7/10/2026","7/13/2026","SPXW","SPXW 7/22/2026 Put $7,275.00","BTC","2","$5.78","($1,157.96)"
"7/8/2026","7/8/2026","7/9/2026","SPXW","SPXW 7/29/2026 Put $7,200.00","BTO","1","$38.55","($3,855.98)"
"7/8/2026","7/8/2026","7/9/2026","SPXW","SPXW 7/29/2026 Put $7,270.00","BTO","1","$50.10","($5,010.98)"
"7/8/2026","7/8/2026","7/9/2026","SPXW","SPXW 7/29/2026 Put $7,250.00","STO","2","$46.45","$9,288.04"
"7/8/2026","7/8/2026","7/9/2026","RPD","Rapid7
CUSIP: 753422104","Sell","170","$10.97","$1,864.83"
"7/7/2026","7/7/2026","7/8/2026","SPXW","SPXW 7/10/2026 Put $7,260.00","STC","2","$1.57","$312.04"
"7/7/2026","7/7/2026","7/8/2026","SPXW","SPXW 7/10/2026 Put $7,270.00","BTC","2","$1.72","($345.96)"
"7/7/2026","7/7/2026","7/8/2026","SPXW","SPXW 7/10/2026 Put $7,260.00","STC","1","$1.57","$156.02"
"7/7/2026","7/7/2026","7/8/2026","SPXW","SPXW 7/10/2026 Put $7,270.00","BTC","1","$1.72","($172.98)"
"7/6/2026","7/6/2026","7/7/2026","SPX","SPX 7/17/2026 Put $7,340.00","BTO","3","$14.45","($4,338.15)"
"7/6/2026","7/6/2026","7/7/2026","SPX","SPX 7/17/2026 Put $7,360.00","STO","3","$16.55","$4,961.85"
"7/6/2026","7/6/2026","7/6/2026","EOSER","Eos Energy Enterprises, Inc. Right
CUSIP: 29415C127","SOFF","2","",""
"7/1/2026","7/1/2026","7/2/2026","SPXW","SPXW 7/2/2026 Put $7,215.00","STC","1","$0.30","$29.11"
"7/1/2026","7/1/2026","7/2/2026","SPXW","SPXW 7/2/2026 Put $7,230.00","BTC","1","$0.40","($40.89)"
"7/1/2026","7/1/2026","7/2/2026","SPXW","SPXW 7/2/2026 Put $7,215.00","STC","1","$0.30","$29.11"
"7/1/2026","7/1/2026","7/2/2026","SPXW","SPXW 7/2/2026 Put $7,230.00","BTC","1","$0.40","($40.89)"
"7/1/2026","7/1/2026","7/2/2026","SPXW","SPXW 7/2/2026 Put $7,215.00","STC","1","$0.30","$29.11"
"7/1/2026","7/1/2026","7/2/2026","SPXW","SPXW 7/2/2026 Put $7,230.00","BTC","1","$0.40","($40.89)"
"7/1/2026","7/1/2026","7/2/2026","BAM","Brookfield Asset Management
CUSIP: 113004105
Dividend Reinvestment","Buy","0.937959","$45.54","($42.71)"
"7/1/2026","7/1/2026","7/1/2026","UVIX","2x Long VIX Futures ETF
CUSIP: 92891H606","SPR","50.8044S","",""
"7/1/2026","7/1/2026","7/1/2026","UVIX","2x Long VIX Futures ETF
CUSIP: 92891H705","SPR","2.5402","",""
"6/30/2026","6/30/2026","6/30/2026","BAM","Cash Div: R/D 2026-05-29 P/D 2026-06-30 - 52 shares at 0.5025","CDIV","","","$26.13"
"6/30/2026","6/30/2026","6/30/2026","BAM","Manufactured Div: R/D 2026-05-29 P/D 2026-06-30 - 48 shares at 0.5025","MDIV","","","$20.50"
"6/30/2026","6/30/2026","6/30/2026","BAM","Foreign Tax Witholding at $7.54","DTAX","","","($3.92)"
"6/30/2026","6/30/2026","7/1/2026","SPXW","SPXW 7/10/2026 Put $7,260.00","BTO","3","$12.85","($3,857.94)"
"6/30/2026","6/30/2026","7/1/2026","SPXW","SPXW 7/10/2026 Put $7,270.00","STO","3","$13.70","$4,107.06"
"6/29/2026","6/29/2026","6/30/2026","SPXW","SPXW 7/22/2026 Put $7,300.00","BTO","1","$70.37","($7,037.98)"
"6/29/2026","6/29/2026","6/30/2026","SPXW","SPXW 7/22/2026 Put $7,275.00","STO","2","$64.12","$12,822.04"
"6/29/2026","6/29/2026","6/30/2026","SPXW","SPXW 7/22/2026 Put $7,225.00","BTO","1","$53.32","($5,332.98)"
"6/26/2026","6/26/2026","6/29/2026","SPXW","Option Expiration for SPXW 6/26/2026 Put $7,340.00","OEXP","3","",""
"6/26/2026","6/26/2026","6/29/2026","SPXW","Option Expiration for SPXW 6/26/2026 Put $7,330.00","OEXP","3S","",""
"6/22/2026","6/22/2026","6/23/2026","SPXW","SPXW 7/2/2026 Put $7,230.00","STO","3","$18.80","$5,637.06"
"6/22/2026","6/22/2026","6/23/2026","SPXW","SPXW 7/2/2026 Put $7,215.00","BTO","3","$17.35","($5,207.94)"
"6/22/2026","6/22/2026","6/22/2026","","Transfer from Brokerage to Brokerage","ITRF","","","$3,000.00"
"6/17/2026","6/17/2026","6/18/2026","RPD","RPD 6/18/2026 Call $6.00","OEXCS","8S","",""
"6/17/2026","6/17/2026","6/18/2026","RPD","Rapid7
CUSIP: 753422104
8 RPD Options Exercised","Buy","800","$6.00","($4,800.00)"
"6/16/2026","6/16/2026","6/17/2026","SPXW","SPXW 6/26/2026 Put $7,315.00","STC","1","$15.10","$1,509.02"
"6/16/2026","6/16/2026","6/17/2026","SPXW","SPXW 6/26/2026 Put $7,340.00","BTC","1","$17.60","($1,760.98)"
"6/15/2026","6/15/2026","6/15/2026","","Event Contracts Inter-Entity Cash Transfer","FUTSWP","","","($4,999.52)"
"6/15/2026","6/15/2026","6/16/2026","SPXW","SPXW 6/26/2026 Put $7,315.00","BTO","1","$15.61","($1,561.98)"
"6/15/2026","6/15/2026","6/16/2026","SPXW","SPXW 6/26/2026 Put $7,340.00","BTC","1","$18.13","($1,813.98)"
"6/15/2026","6/15/2026","6/16/2026","SPXW","SPXW 6/26/2026 Put $7,330.00","STC","2","$16.97","$3,392.04"
"6/15/2026","6/15/2026","6/16/2026","SPXW","SPXW 6/26/2026 Put $7,330.00","BTO","2","$16.27","($3,255.96)"
"6/15/2026","6/15/2026","6/16/2026","SPXW","SPXW 6/26/2026 Put $7,340.00","STO","2","$17.22","$3,442.04"
"6/15/2026","6/15/2026","6/16/2026","SPXW","SPXW 6/26/2026 Put $7,330.00","BTO","3","$16.25","($4,877.94)"
"6/15/2026","6/15/2026","6/16/2026","SPXW","SPXW 6/26/2026 Put $7,340.00","STO","3","$17.25","$5,172.06"
"6/15/2026","6/15/2026","6/15/2026","","Aggregated Margin Rate","MINT","","","($71.93)"
"6/12/2026","6/12/2026","6/15/2026","SPXW","Option Expiration for SPXW 6/12/2026 Put $7,405.00","OEXP","3","",""
"6/12/2026","6/12/2026","6/15/2026","SPXW","Option Expiration for SPXW 6/12/2026 Put $7,390.00","OEXP","3S","",""
"6/12/2026","6/12/2026","6/15/2026","SPCX","SpaceX
CUSIP: 84615Q103
Primary Issue","Buy","1","$135.00","($135.00)"
"6/12/2026","6/12/2026","6/15/2026","SPCX","SpaceX
CUSIP: 84615Q103","Buy","5","$164.65","($823.25)"
"6/9/2026","6/9/2026","6/10/2026","XOVR","XOVR 7/17/2026 Call $18.00","BTO","1","$3.50","($350.04)"
"6/8/2026","6/8/2026","6/9/2026","MARA","MARA Holdings
CUSIP: 565788106","Buy","5","$12.80","($64.00)"
"6/8/2026","6/8/2026","6/9/2026","BMNR","BitMine Immersion Technologies
CUSIP: 09175A206","Buy","5","$16.57","($82.85)"
