trade_id,closed_at,account,symbol,asset_class,quantity,close_price,realized_gain,strategy,strikes,expiry,source,broker,thesis,vix_at_entry
2025-06-13T20:00:00Z_SOFI_1_38,2025-06-13T20:00:00Z,2005,SOFI,option,1,0,38,,,,connector,robinhood,,
2025-06-17T18:42:19Z_SMR_1_124,2025-06-17T18:42:19Z,2005,SMR,option,1,-38,124,,,,connector,robinhood,,
2025-06-17T18:48:19Z_SMR_1_213,2025-06-17T18:48:19Z,2005,SMR,option,1,-38,213,,,,connector,robinhood,,
2025-06-27T20:00:00Z_SMR_1_105,2025-06-27T20:00:00Z,2005,SMR,option,1,0,105,,,,connector,robinhood,,
2025-06-27T20:00:00Z_OKLO_1_108,2025-06-27T20:00:00Z,2005,OKLO,option,1,0,108,,,,connector,robinhood,,
2025-06-27T20:00:00Z_SMR_1_110,2025-06-27T20:00:00Z,2005,SMR,option,1,0,110,,,,connector,robinhood,,
2025-06-27T20:00:00Z_SMR_1_132,2025-06-27T20:00:00Z,2005,SMR,option,1,0,132,,,,connector,robinhood,,
2025-07-03T17:00:00Z_SMR_1_51,2025-07-03T17:00:00Z,2005,SMR,option,1,0,51,,,,connector,robinhood,,
2025-07-03T17:00:00Z_CRCL_1_1020,2025-07-03T17:00:00Z,2005,CRCL,option,1,0,1020,,,,connector,robinhood,,
2025-07-18T15:43:35Z_CRCL_1_-2909,2025-07-18T15:43:35Z,2005,CRCL,option,1,-3600,-2909,,,,connector,robinhood,,
2025-07-18T18:19:32Z_SMR_1_-832,2025-07-18T18:19:32Z,2005,SMR,option,1,-925,-832,,,,connector,robinhood,,
2025-07-18T20:00:00Z_HIMS_2_146,2025-07-18T20:00:00Z,2005,HIMS,option,2,0,146,,,,connector,robinhood,,
2025-07-18T20:00:00Z_SOFI_1_18,2025-07-18T20:00:00Z,2005,SOFI,option,1,0,18,,,,connector,robinhood,,
2025-07-21T12:19:42Z_HIMS_200_431.9,2025-07-21T12:19:42Z,2005,HIMS,stock,200,50.4,431.9,,,,connector,robinhood,,
2025-07-25T20:00:00Z_OKLO_2_528,2025-07-25T20:00:00Z,2005,OKLO,option,2,0,528,,,,connector,robinhood,,
2025-07-25T20:00:00Z_CRCL_1_1057,2025-07-25T20:00:00Z,2005,CRCL,option,1,0,1057,,,,connector,robinhood,,
2025-07-25T20:00:00Z_SMR_1_186,2025-07-25T20:00:00Z,2005,SMR,option,1,0,186,,,,connector,robinhood,,
2025-08-01T20:00:00Z_SMR_1_134,2025-08-01T20:00:00Z,2005,SMR,option,1,0,134,,,,connector,robinhood,,
2025-08-08T20:00:00Z_CRCL_1_181,2025-08-08T20:00:00Z,2005,CRCL,option,1,0,181,,,,connector,robinhood,,
2025-08-08T20:00:00Z_SMR_1_202,2025-08-08T20:00:00Z,2005,SMR,option,1,0,202,,,,connector,robinhood,,
2025-08-15T20:00:00Z_FIG_1_330,2025-08-15T20:00:00Z,2005,FIG,option,1,0,330,,,,connector,robinhood,,
2025-08-15T20:00:00Z_SMR_1_74,2025-08-15T20:00:00Z,2005,SMR,option,1,0,74,,,,connector,robinhood,,
2025-08-15T20:00:00Z_CRCL_1_540,2025-08-15T20:00:00Z,2005,CRCL,option,1,0,540,,,,connector,robinhood,,
2025-08-22T19:28:25Z_FIG_1_-310,2025-08-22T19:28:25Z,2005,FIG,option,1,-447,-310,,,,connector,robinhood,,
2025-08-22T19:29:40Z_SMR_1_43,2025-08-22T19:29:40Z,2005,SMR,option,1,-3,43,,,,connector,robinhood,,
2025-08-22T20:00:00Z_CRCL_1_245,2025-08-22T20:00:00Z,2005,CRCL,option,1,0,245,,,,connector,robinhood,,
2025-08-29T20:00:00Z_CRCL_100_-6367.1,2025-08-29T20:00:00Z,2005,CRCL,stock,100,131.2795,-6367.1,,,,connector,robinhood,,
2025-08-29T20:00:00Z_SMR_1_89,2025-08-29T20:00:00Z,2005,SMR,option,1,0,89,,,,connector,robinhood,,
2025-08-29T20:00:00Z_FIG_1_192,2025-08-29T20:00:00Z,2005,FIG,option,1,0,192,,,,connector,robinhood,,
2025-09-05T20:00:00Z_SMR_1_36,2025-09-05T20:00:00Z,2005,SMR,option,1,0,36,,,,connector,robinhood,,
2025-09-05T20:00:00Z_FIG_1_140,2025-09-05T20:00:00Z,2005,FIG,option,1,0,140,,,,connector,robinhood,,
2025-09-12T19:18:10Z_FIG_1_34,2025-09-12T19:18:10Z,2005,FIG,option,1,-5,34,,,,connector,robinhood,,
2025-09-12T19:19:31Z_SMR_1_10,2025-09-12T19:19:31Z,2005,SMR,option,1,-26,10,,,,connector,robinhood,,
2025-09-12T19:27:27Z_CRCL_1_-641,2025-09-12T19:27:27Z,2005,CRCL,option,1,-760,-641,,,,connector,robinhood,,
2025-09-19T20:00:00Z_CRCL_100_1469.97,2025-09-19T20:00:00Z,2005,CRCL,stock,100,134.8995,1469.97,,,,connector,robinhood,,
2025-09-19T20:00:00Z_FIG_1_70,2025-09-19T20:00:00Z,2005,FIG,option,1,0,70,,,,connector,robinhood,,
2025-09-19T20:00:00Z_SMR_100_-36.1,2025-09-19T20:00:00Z,2005,SMR,stock,100,40.3095,-36.1,,,,connector,robinhood,,
2025-10-03T20:00:00Z_OKLO_100_387.9,2025-10-03T20:00:00Z,2005,OKLO,stock,100,129.0295,387.9,,,,connector,robinhood,,
2025-10-24T20:00:00Z_CRCL_200_1576.62,2025-10-24T20:00:00Z,2005,CRCL,stock,200,134.1895,1576.62,,,,connector,robinhood,,
2025-11-15T05:36:42Z_SPXW_1_-5352,2025-11-15T05:36:42Z,2005,SPXW,option,1,-11589,-5352,,,,connector,robinhood,,
2025-11-15T05:36:42Z_SPXW_1_5042,2025-11-15T05:36:42Z,2005,SPXW,option,1,11089,5042,,,,connector,robinhood,,
2025-11-25T17:01:12Z_SPXW_1_205,2025-11-25T17:01:12Z,2005,SPXW,option,1,-45,205,,,,connector,robinhood,,
2025-11-28T16:05:17Z_SPXW_2_290,2025-11-28T16:05:17Z,2005,SPXW,option,2,-30,290,,,,connector,robinhood,,
2025-11-28T18:00:00Z_CRCL_1_132,2025-11-28T18:00:00Z,2005,CRCL,option,1,0,132,,,,connector,robinhood,,
2025-12-01T15:10:08Z_SPXW_3_-30,2025-12-01T15:10:08Z,2005,SPXW,option,3,-115,-30,,,,connector,robinhood,,
2025-12-05T19:48:33Z_SPXW_3_225,2025-12-05T19:48:33Z,2005,SPXW,option,3,-30,225,,,,connector,robinhood,,
2025-12-19T15:31:53Z_SPXW_4_440,2025-12-19T15:31:53Z,2005,SPXW,option,4,-5,440,,,,connector,robinhood,,
2025-12-19T15:40:54Z_SPXW_3_150,2025-12-19T15:40:54Z,2005,SPXW,option,3,-25,150,,,,connector,robinhood,,
